#Cost           Per_N_Months  Per_N_Customers  Conservative  Estimate   Aggressive

Bandwidth       1.0           100              1500.00       1000.00    500.00
Router_Rental   1.0           1                5.00          10.00      10.00
Tower           1.0           1000             6000.00       3000.00    2000.00
Corp_Salary     1.0           10000            20000.00      10000.00   5000.00
Tech_Salary     1.0           5000             10000.00      7500.00    5000.00
Ratio_Payback   1.0           1                5.00          2.00       1.00
Servers         12.0          200              5000.00       2000.00    1000.00
